Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Developer,Rating
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,15.85,,,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,15.29,77,7.1,Nintendo,E
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,15.14,,,,
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14.98,95,8.4,Polyphony Digital,E
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.73,88,3.4,"Infinity Ward, Sledgehammer Games",M
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,14.64,,,,
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,14.63,,,,
Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.61,87,6.3,Treyarch,M
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,14.6,,,,
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,13.79,83,5.3,Treyarch,M
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.67,83,4.8,Treyarch,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,13.47,94,6.3,Infinity Ward,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,13.32,88,3.2,"Infinity Ward, Sledgehammer Games",M
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,13.1,97,8.5,DMA Design,M
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,12.84,93,8.9,Game Arts,T
Mario Kart 7,3DS,2011,Racing,Nintendo,12.66,85,8.2,"Retro Studios, Entertainment Analysis & Development Division",E
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,12.63,88,6.4,Treyarch,M
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61,97,8.3,Rockstar North,M
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,12.13,86,8.7,Nintendo,E
Halo 3,X360,2007,Shooter,Microsoft Game Studios,12.12,94,7.8,"Bungie Software, Bungie",M
Super Mario 64,N64,1996,Platform,Nintendo,11.89,,,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,11.77,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,11.68,,,,
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,11.66,89,8.5,Polyphony Digital,E
Super Mario Galaxy,Wii,2007,Platform,Nintendo,11.35,97,8.9,Nintendo,E
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,11.18,,,,
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,11.01,98,7.9,Rockstar North,M
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,10.95,96,8.7,Polyphony Digital,E
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.81,90,8.4,Nintendo,E
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7,84,7.5,Polyphony Digital,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,10.6,94,6.3,Infinity Ward,M
Super Mario All-Stars,SNES,1993,Platform,Nintendo,10.55,,,,
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,10.5,98,7.5,Rockstar North,M
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,10.49,,,,
Super Mario 64,DS,2004,Platform,Nintendo,10.3,,,,
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,73,2.6,Infinity Ward,M
Just Dance 3,Wii,2011,Misc,Ubisoft,10.12,74,7.8,Ubisoft,E10+
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9,78,7.2,Nintendo,E
Mario Kart 64,N64,1996,Racing,Nintendo,9.87,,,,
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.86,91,7.9,Bungie,M
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,9.72,92,9.2,SquareSoft,T
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71,87,7,343 Industries,M
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,9.49,93,9,Polyphony Digital,T
Just Dance 2,Wii,2010,Misc,Ubisoft,9.44,74,7.3,Ubisoft,E10+
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,9.36,71,2.6,Infinity Ward,M
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,9.31,94,8.4,Infinity Ward,M
Donkey Kong Country,SNES,1994,Platform,Nintendo,9.3,,,,
Minecraft,X360,2013,Misc,Microsoft Game Studios,9.18,,,,
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,88,8.7,Nintendo,E
Mario Party DS,DS,2007,Misc,Nintendo,8.91,72,7.8,Hudson Soft,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,8.79,96,8.4,Bethesda Game Studios,M
Super Mario Kart,SNES,1992,Racing,Nintendo,8.76,,,,
FIFA 16,PS4,2015,Sports,Electronic Arts,8.57,82,4.3,EA Sports,E
Halo 2,XB,2004,Shooter,Microsoft Game Studios,8.49,95,8.2,Bungie Software,M
Wii Party,Wii,2010,Misc,Nintendo,8.38,68,7.4,Nd Cube,E
Mario Party 8,Wii,2007,Misc,Nintendo,8.27,62,6.3,Hudson,E
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,8.16,88,6.6,Electronic Arts,E
GoldenEye 007,N64,1997,Shooter,Nintendo,8.09,,,,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,8.07,,,,
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,8.05,92,8.7,SquareSoft,T
The Sims 3,PC,2009,Simulation,Electronic Arts,8.01,86,7.6,The Sims Studio,T
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,7.99,,,,
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,7.98,,,,
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,7.86,90,8.6,SquareSoft,T
Pac-Man,2600,1982,Puzzle,Atari,7.81,,,,
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,7.72,83,8.5,Game Freak,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,7.69,88,7.6,Rockstar Leeds,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,7.66,83,5.7,Sledgehammer Games,M
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,7.6,,,,
FIFA 17,PS4,2016,Sports,Electronic Arts,7.59,85,5,"EA Sports, EA Vancouver",E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,7.58,,,,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,7.55,,,,
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.51,97,9.1,Nintendo EAD Tokyo,E
Super Mario Bros. 2,NES,1988,Platform,Nintendo,7.46,,,,
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,7.39,,,,
Call of Duty: World at War,X360,2008,Shooter,Activision,7.38,84,7.6,Treyarch,M
Battlefield 3,X360,2011,Shooter,Electronic Arts,7.32,84,7.4,EA DICE,M
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,7.2,85,8.6,EA Black Box,E
Just Dance,Wii,2009,Misc,Ubisoft,7.2,49,8,Ubisoft Paris,E10+
Battlefield 3,PS3,2011,Shooter,Electronic Arts,7.17,85,7.5,EA DICE,M
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16,87,6.5,Bethesda Game Studios,M
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,7.16,96,9.1,Namco,T
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,7.15,95,9,Nintendo,T
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,7.14,,,,
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,7.13,91,8.9,Naughty Dog,E
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,88,9.1,Nintendo,E
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,7.07,92,9.1,HAL Labs,T
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,6.95,,,,
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,6.9,82,8.6,EA Canada,E
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,6.83,88,8.5,EA LA,T
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,6.82,,,,
Just Dance 4,Wii,2012,Misc,Ubisoft,6.76,74,7.3,Ubisoft,E10+
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,6.75,93,7.7,Epic Games,M
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,6.74,92,8.3,Naughty Dog,T
Zumba Fitness,Wii,2010,Sports,505 Games,6.71,,,"Pipeworks Software, Inc.",E
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,6.68,94,8.4,Infinity Ward,M
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,6.66,96,8.8,Naughty Dog,T
FIFA 12,PS3,2011,Sports,Electronic Arts,6.65,,,,
Big Brain Academy,DS,2005,Misc,Nintendo,6.62,74,7.4,Nintendo,E
The Legend of Zelda,NES,1986,Action,Nintendo,6.51,,,,
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.49,95,8.8,Rockstar San Diego,M
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,86,4.3,EA Canada,E
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,85,6.9,Ubisoft,M
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.44,87,8.6,Retro Studios,E
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,6.43,97,8.6,Bungie Software,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,6.41,92,6.4,Bethesda Game Studios,M
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,6.41,76,9,Game Freak,E
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,6.4,85,8.8,SquareSoft,E
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,6.39,,,,
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,6.34,83,7.1,"Bungie Software, Bungie",M
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.32,95,9,Rockstar San Diego,M
Super Mario Sunshine,GC,2002,Platform,Nintendo,6.31,92,8.6,Nintendo,E
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,6.3,,,,
World of Warcraft,PC,2004,Role-Playing,Activision,6.29,93,7.3,Blizzard Entertainment,T
Driver,PS,1999,Action,GT Interactive,6.27,87,8.1,Reflections Interactive,T
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.21,91,7.8,Epic Games,M
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19,73,7.4,Rare Ltd.,E10+
Gears of War,X360,2006,Shooter,Microsoft Game Studios,6.09,94,8.3,Epic Games,M
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82,5.7,EA Sports,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,6.05,96,8.7,KCEJ,M
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,6.03,,,,
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,6.03,94,9.4,KCEJ,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,5.99,94,8.7,Kojima Productions,M
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,5.95,92,7.6,Square Enix,T
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95,9.1,Naughty Dog,M
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,5.82,95,6.8,"SCE/WWS, Media Molecule",E
Resident Evil 2,PS,1998,Action,Virgin Interactive,5.82,89,9.2,Capcom,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,5.78,87,8.8,Level 5,E10+
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,5.74,89,8.9,Namco,T
Destiny,PS4,2014,Shooter,Activision,5.64,76,6.1,"Bungie Software, Bungie",T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,5.64,80,8.9,Traveller's Tales,E10+
Cooking Mama,DS,2006,Simulation,505 Games,5.63,67,7.2,Taito Corporation,E
Tetris,NES,1988,Puzzle,Nintendo,5.58,,,,
Super Smash Bros.,N64,1999,Fighting,Nintendo,5.55,,,,
Assassin's Creed II,PS3,2009,Action,Ubisoft,5.55,91,8.6,Ubisoft Montreal,M
Assassin's Creed,X360,2007,Adventure,Ubisoft,5.54,81,7.7,Ubisoft Montreal,M
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,5.49,92,8,Turn 10,E
Super Mario Advance,GBA,2001,Platform,Nintendo,5.49,84,7.8,Nintendo,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,5.48,81,8.7,Capcom,T
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48,96,8.6,Rocksteady Studios,T
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,5.48,97,7.9,Rockstar North,M
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,5.47,93,8.3,Intelligent Systems,E
Super Mario World,GBA,2001,Platform,Nintendo,5.46,,,,
Pokemon Stadium,N64,1999,Strategy,Nintendo,5.45,,,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,5.42,66,7.1,Traveller's Tales,E
Call of Duty: World at War,PS3,2008,Shooter,Activision,5.39,85,7.6,Treyarch,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,93,7.9,Naughty Dog,T
Dr. Mario,GB,1989,Puzzle,Nintendo,5.34,,,,
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,5.33,83,7.3,Square Enix,T
Pokemon Pinball,GB,1999,Misc,Nintendo,5.31,,,,
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,5.3,94,8.9,SquareSoft,T
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,84,6.7,Ubisoft,M
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,5.29,85,6.6,SquareSoft,T
Donkey Kong 64,N64,1999,Platform,Nintendo,5.27,,,,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,81,5.4,Sledgehammer Games,M
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,5.26,,,,
Assassin's Creed II,X360,2009,Action,Ubisoft,5.26,90,8.8,Ubisoft Montreal,M
Tomb Raider II,PS,1997,Action,Eidos Interactive,5.24,85,,Core Design Ltd.,T
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,5.23,94,8.5,EA Tiburon,E
Tomodachi Life,3DS,2013,Simulation,Nintendo,5.23,,,,
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,84,8.1,Nintendo,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,5.21,89,8.8,Level 5,T
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,5.2,,,,
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,5.19,85,8.6,Level 5,E
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,5.19,,,,
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,90,6.1,Electronic Arts,E
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,5.15,,,,
Diablo III,PC,2012,Role-Playing,Activision,5.14,88,4,Blizzard Entertainment,M
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,5.13,68,7.6,EA LA,T
Kirby's Dream Land,GB,1992,Platform,Nintendo,5.13,,,,
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,5.12,,,,
Guitar Hero II,PS2,2006,Misc,RedOctane,5.12,92,8.5,Harmonix Music Systems,T
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1,80,6.5,Lionhead Studios,M
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,5.09,,,,
Resident Evil 5,PS3,2009,Action,Capcom,5.09,84,7.5,Capcom,M
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,5.08,90,8,Nintendo,E
Super Mario Bros.,GB,1999,Platform,Nintendo,5.07,,,,
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5.07,89,8,EA Sports,E
Resident Evil,PS,1996,Action,Virgin Interactive,5.05,91,9,Capcom,M
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,5.03,86,8,Rockstar Leeds,M
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,5.02,92,9.2,Neversoft Entertainment,T
Warzone 2100,PS,1999,Strategy,Eidos Interactive,5.01,,,,
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,5,,,,
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,4.98,82,8.2,"Neversoft Entertainment, BudCat",T
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,4.98,68,7.1,Nintendo,T
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,4.93,,,,
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,4.93,93,8.5,Bethesda Game Studios,M
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,4.92,88,8.1,"Naughty Dog, SCE/WWS",T
Madden NFL 06,PS2,2005,Sports,Electronic Arts,4.91,88,8,EA Sports,E
Diddy Kong Racing,N64,1997,Racing,Nintendo,4.88,,,,
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,4.87,,,,
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,4.87,,,,
Dr. Mario,NES,1990,Puzzle,Nintendo,4.85,,,,
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,4.84,93,8.2,Blizzard Entertainment,T
Assassin's Creed,PS3,2007,Adventure,Ubisoft,4.82,81,7.3,Ubisoft Montreal,M
God of War III,PS3,2010,Action,Sony Computer Entertainment,4.8,92,8.7,SCE Santa Monica,M
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,4.79,88,9,Naughty Dog,E
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,4.76,80,5.4,TT Fusion,E
Driver 2,PS,2000,Action,Atari,4.73,62,7.7,Reflections Interactive,T
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,4.73,94,8.7,Rocksteady Studios,T
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,4.71,,,,
The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,4.7,,,,
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,4.68,98,7.7,Neversoft Entertainment,T
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,4.67,82,8.2,Stormfront Studios,T
Tomb Raider,PS,1996,Action,Eidos Interactive,4.63,91,8.6,Core Design Ltd.,T
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,4.62,73,7.6,Nintendo,E
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62,86,8.1,Bluepoint Games,T
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,4.61,,,,
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,4.6,96,8.9,Nintendo,E
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,4.6,86,8.4,Vicarious Visions,T
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.59,86,8.4,Next Level Games,E
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,4.57,91,8.2,Turn 10,E
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,4.53,,,,
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.53,91,7.9,EA Tiburon,E
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,4.53,85,7.9,Neversoft Entertainment,T
Pitfall!,2600,1981,Platform,Activision,4.5,,,,
Madden NFL 07,PS2,2006,Sports,Electronic Arts,4.49,84,8.2,EA Sports,E
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,4.48,84,6.4,343 Industries,T
Spider-Man: The Movie,PS2,2002,Action,Activision,4.48,76,7.9,Treyarch,E
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,4.47,,,,
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,4.46,77,3.4,Infinity Ward,M
God of War,PS2,2005,Action,Sony Computer Entertainment,4.45,94,8.9,SCE Santa Monica,M
Splatoon,WiiU,2015,Shooter,Nintendo,4.43,81,8.5,Nintendo,E10+
Nintendo Land,WiiU,2012,Misc,Nintendo,4.42,77,7.9,Nintendo,E10+
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,4.41,97,7.5,Neversoft Entertainment,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,4.39,86,8.9,Konami,E
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,4.38,94,8.7,Bethesda Softworks,M
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,4.38,,,,
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,4.37,82,9.1,EA Canada,T
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,4.36,56,8.3,"Ubisoft Paris, Ubisoft Montpellier",E10+
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,4.36,,4.8,High Moon Studios,M
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,4.34,86,8.1,Insomniac Games,M
Sonic the Hedgehog,GEN,1991,Platform,Sega,4.34,,,,
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,4.33,87,9,Square Enix,E10+
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,4.33,,,,
Super Mario 3D World,WiiU,2013,Platform,Nintendo,4.32,93,9,Nintendo,E
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,4.32,,,,
Asteroids,2600,1980,Shooter,Atari,4.31,,,,
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,4.29,,4.9,High Moon Studios,M
FIFA 15,PS3,2014,Sports,Electronic Arts,4.28,,4.5,EA Sports,E
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,4.27,89,6.5,Lionhead Studios,M
Namco Museum,GBA,2001,Misc,Namco Bandai Games,4.24,79,7.3,Mass Media,E
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,4.23,91,8.9,Rocksteady Studios,T
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,4.23,91,9.3,KCEJ,M
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,4.22,80,7.5,Ubisoft Montreal,M
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,4.22,88,6.2,Bethesda Game Studios,M
FIFA 14,X360,2013,Sports,Electronic Arts,4.22,84,4.2,EA Canada,E
Daxter,PSP,2006,Platform,Sony Computer Entertainment,4.21,85,8.7,Ready at Dawn,E10+
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,4.21,,,,
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,4.21,80,7.8,EA Canada,E
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,4.2,80,7.5,"SCEE, Zoe Mode",E
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,4.19,80,7.1,Polyphony Digital,E
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,4.19,80,7.2,Ubisoft Montreal,M
FIFA 12,X360,2011,Sports,Electronic Arts,4.18,,,,
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,4.17,,,,
Street Fighter IV,PS3,2009,Fighting,Capcom,4.16,94,7.3,Capcom,T
Excitebike,NES,1984,Racing,Nintendo,4.16,,,,
Frogger,PS,1997,Action,Hasbro Interactive,4.16,,,,
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,4.14,95,7.7,EA Sports,E
Half-Life,PC,1997,Shooter,Vivendi Games,4.12,96,9.1,Valve Software,M
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,4.12,,,,
FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,4.11,,,,
Street Fighter II Turbo,SNES,1992,Fighting,Capcom,4.1,,,,
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,4.09,91,7.9,Blizzard Entertainment,T
Battlefield 1,PS4,2016,Shooter,Electronic Arts,4.08,88,8.4,EA DICE,M
God of War II,PS2,2007,Action,Sony Computer Entertainment,4.07,93,8.9,SCE Santa Monica,M
World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,4.06,,8.2,Konami,E
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,4.05,84,8.1,Obsidian Entertainment,M
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,4.05,90,8.3,Turn 10,E
Carnival Games,Wii,2007,Misc,Take-Two Interactive,4.05,56,6,Cat Daddy Games,E
